V1,V2,V3,V4,V5,V7,V8,V9,V10,FAE,Order,Condition,Q1,Q2,Q3,Q17,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q20,Q21,Q22_1,Q22_2,Q22_3,Q22_4,Q23,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q26,Q27,Q28_1,Q28_2,Q28_3,Q28_4,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q29,Q30,Q32,DV_1,Gender,Gender_TEXT,Age,Ethnicity,Ethnicity_TEXT,Religion,Religion_TEXT,Q37,Q38,Q46,Q48,Q50,Q52,Q54,Q56,Q58,Q60,Q62,Q58,Q60,Q62,Q64,Q66,Q68,Q70,Q72,Q74,Q76,Q78,Q80,Q82,Q84,Q86,Q88,Q90,Q92,Q94,Q96,Q98,Q100,Q102,Q104,Q106,Q108,Q110,Q112,Q114,Q64,Q66,Q68,Q40,Q41,Q42,Q43,Q83,LocationLatitude,LocationLongitude,LocationAccuracy
R_1gSIwKIWzl2iJxP,Default Response Set,Anonymous,,,0,11/27/16 19:03,11/27/16 19:28,1,Pro,FAE Second,Analytic,1,1,1,1,1,0,0,39.21,0,1,1,0,0,33.945,0,1,1,0,0,34.669,0,1,1,0,0,32.639,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,75,1,,20,1,,2,,1,3,1,1,1,2,1,2,2,3,3,1,5,5,4,4,6,5,4,1,3,1,1,1,1,1,3,2,3,3,2,3,4,2,1,4,6,5,4,4,,,,yes,no,,no,1,38.08880615,-78.55919647,-1
R_DwrTLQIxVe9eXhD,Default Response Set,Anonymous,,,0,11/27/16 19:31,11/27/16 19:42,1,Anti,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,33.254,0,1,1,0,0,31.812,0,1,1,0,0,32.577,0,1,1,0,0,32.417,0,1,2,1,91,2,,19,6,,3,,1,3,,,,6,6,4,5,6,3,1,3,3,3,3,4,5,5,1,3,5,5,3,3,1,3,3,3,3,2,2,3,2,1,4,4,4,3,4,1,1,1,yes,yes,i don't know,no,1,38.08880615,-78.55919647,-1
R_We316xPlPFTSpcB,Default Response Set,Anonymous,,,0,11/27/16 19:35,11/27/16 19:43,1,Pro,FAE Second,Analytic,1,1,1,1,1,0,0,36.926,0,1,1,55.098,55.098,55.944,1,1,1,0,0,33.891,0,1,1,0,0,33.602,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,25,2,,19,1,,2,,1,3,1,1,1,2,2,3,3,2,4,1,3,5,3,3,6,6,6,1,2,3,2,3,2,1,5,3,5,6,3,3,3,3,1,5,5,5,4,5,,,,Yes,No,Unsure,No,1,38.08880615,-78.55919647,-1
R_3gZ5c8t3618n6yC,Default Response Set,Anonymous,,,0,11/27/16 19:30,11/27/16 19:45,1,Pro,FAE Second,Analytic,1,1,3,1,1,0,0,85.617,0,1,1,0,0,45.589,0,1,1,0,0,39.309,0,1,1,0,0,32.721,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,60,2,,19,1,,2,,1,1,1,1,1,3,3,6,6,3,5,1,3,3,1,2,4,4,3,1,3,3,2,1,2,1,2,2,5,5,3,5,3,3,1,3,5,4,2,3,,,,yes,no,different views,no,1,37.9539032,-78.35839844,-1
R_YQAzdizHsRDhYQ1,Default Response Set,Anonymous,,,0,11/27/16 19:55,11/27/16 20:04,1,Pro,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,33.665,0,1,1,0,0,34.105,0,1,1,0,0,31.413,0,1,1,32.54,32.54,33.839,1,1,2,1,35,2,,20,1,,11,,1,3,1,1,1,2,2,3,3,5,3,1,4,5,3,5,6,2,6,1,2,2,1,2,1,1,2,3,7,5,3,5,5,3,1,3,5,3,5,5,,,,Yes,No,Color and discrimination?,-,1,38.08880615,-78.55919647,-1
R_1I3MFcCD6sFKPJi,Default Response Set,Anonymous,,,0,11/27/16 20:32,11/27/16 20:40,1,Anti,FAE Second,Analytic,1,1,2,1,1,0,0,34.056,0,1,1,32.614,32.614,32.969,1,1,1,0,0,34.255,0,1,1,0,0,32.921,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,,18,7,,11,,1,2,,,,3,4,5,4,6,4,1,5,6,3,4,5,3,4,1,3,1,1,2,1,1,2,3,3,3,4,5,2,1,1,5,6,5,6,4,1,1,1,Yes,No,No clue,No,1,38.08880615,-78.55919647,-1
R_agvSfjZcVU8GnTP,Default Response Set,Anonymous,,,0,11/27/16 20:54,11/27/16 21:02,1,Pro,FAE Second,Analytic,1,1,2,1,1,0,0,33.514,0,1,1,0,0,31.957,0,1,1,0,0,31.625,0,1,1,0,0,32.816,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,61,2,,18,1,,2,,1,1,1,1,1,2,5,5,4,6,5,1,5,5,3,3,4,5,3,1,2,1,2,2,1,1,2,5,5,6,4,5,4,5,1,3,4,4,2,3,,,,Yes,Lots of varying questions,I do not know,No,1,38.08880615,-78.55919647,-1
R_2R23jcBrKiHc02P,Default Response Set,Anonymous,,,0,11/27/16 21:24,11/27/16 21:32,1,Pro,FAE Second,Analytic,1,1,1,1,1,8.007,8.007,40.643,1,1,1,0,0,42.451,0,1,1,0,0,38.609,0,1,1,0,0,35.181,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,10,2,,21,1,,10,,1,3,1,1,1,4,4,5,2,5,4,1,6,6,7,7,7,7,7,1,6,4,5,5,2,1,7,6,6,7,7,7,6,6,1,6,3,5,6,6,,,,Yes,No,None,,1,37.9875946,-78.6085968,-1
R_1GH5tFbg8F4XVjG,Default Response Set,Anonymous,,,0,11/27/16 21:22,11/27/16 21:40,1,Anti,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9.074,9.074,56.854,1,1,1,0,0,133.257,0,1,1,0,0,41.893,0,1,1,0,0,33.115,0,1,3,1,99,2,,20,2,,2,,1,2,,,,6,4,4,3,5,3,1,3,6,3,6,3,2,4,1,2,3,3,3,4,1,3,5,3,4,3,4,4,2,1,4,4,3,4,4,1,1,1,yes,no,olymipcs/competition ,n/a,1,38.08880615,-78.55919647,-1
R_2CBTTzO9G5TPucm,Default Response Set,Anonymous,,,0,11/27/16 22:12,11/27/16 22:24,1,Anti,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,89.326,89.326,89.879,1,1,1,0,0,68.128,0,1,1,32.593,32.593,32.84,1,1,1,0,0,63.649,0,1,2,1,100,1,,20,8,,2,,1,3,,,,5,5,5,4,5,4,1,4,5,2,2,6,7,7,1,2,2,2,1,2,1,5,5,6,7,6,6,3,3,1,4,4,4,4,4,1,1,1,Yes,Yes,I don't know,"I'm not sure what happens if you click A/B/C multiple times in a row, but maybe have it so you can't do that so it'll be less confusing?",1,37.9875946,-78.6085968,-1
R_1fmbQxQVMIoZzUr,Default Response Set,Anonymous,,,0,11/27/16 22:34,11/27/16 22:44,1,Pro,FAE First,Analytic,1,1,1,1,1,0,0,37.113,0,1,1,0,0,35.296,0,1,1,0,0,40.847,0,1,1,0,0,36.15,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,100,2,,20,1,,1,,1,3,1,1,1,2,1,3,3,2,2,1,6,6,2,2,7,6,7,1,2,3,3,3,2,1,6,5,6,7,3,7,3,3,1,7,7,7,7,7,,,,yes,yes,"religion, art and politics",no,1,38.08880615,-78.55919647,-1
R_1K7KxEiiwpVM6Zq,Default Response Set,Anonymous,,,0,11/27/16 23:14,11/27/16 23:32,1,Pro,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3.439,3.439,135.483,1,1,1,0,0,85.813,0,1,1,53.378,53.378,54.491,1,1,1,0,0,37.384,0,1,2,1,90,2,,19,2,,12,Christian,1,3,1,1,1,1,1,2,2,2,2,1,5,7,3,3,5,4,3,1,1,2,2,2,1,1,3,1,5,2,2,1,1,1,1,3,3,3,2,3,,,,yes,no,,no,1,38.08880615,-78.55919647,-1
R_3PaEJqS11rKaha6,Default Response Set,Anonymous,,,0,11/27/16 23:56,11/28/16 0:05,1,Pro,FAE First,Analytic,1,1,1,1,1,0,0,34.564,0,1,1,0,0,32.413,0,1,1,0,0,34.391,0,1,1,0,0,33.871,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,5,1,,23,2,,12,Unitarian Universalist,1,3,1,1,1,3,6,3,2,7,4,1,7,7,6,6,7,7,7,1,2,2,3,5,5,1,6,6,7,7,7,7,7,6,1,7,6,6,6,7,,,,Yes,Somewhat,Testing certain biases ,None,1,37.9539032,-78.35839844,-1
R_1lnMtPFm1ClK4dg,Default Response Set,Anonymous,,,0,11/28/16 6:19,11/28/16 6:28,1,Anti,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,62.322,0,1,1,0,0,37.901,0,1,1,0,0,44.342,0,1,1,0,0,36.862,0,1,2,1,50,1,,21,5,,6,,1,3,,,,5,3,3,3,2,5,1,5,6,5,6,6,5,6,1,3,2,2,2,2,1,1,2,2,3,3,3,3,3,1,4,3,3,5,4,1,1,1,Yes,No,How our religious views affect our view on societal issues,No,1,37.9539032,-78.35839844,-1
R_1pYvn9QGoq9AScp,Default Response Set,Anonymous,,,0,11/28/16 8:04,11/28/16 8:11,1,Anti,FAE First,Analytic,1,1,1,1,1,36.831,36.831,37.66,1,1,1,0,0,37.146,0,1,1,0,0,37.089,0,1,1,0,0,32.265,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,40,2,,19,1,,11,,1,3,,,,4,2,2,1,6,5,1,7,7,7,6,7,5,7,1,6,3,3,3,2,1,7,6,7,7,7,7,6,7,1,6,7,6,6,4,1,1,1,yes,no,makes you contemplative ,no,1,37.9875946,-78.6085968,-1
R_2dMXsKhq9wxrdky,Default Response Set,Anonymous,,,0,11/28/16 8:04,11/28/16 8:12,1,Anti,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,32.992,0,1,1,0,0,32.938,0,1,1,0,0,33.434,0,1,1,0,0,35.32,0,1,2,1,85,2,,18,1,,1,,1,3,,,,5,3,3,3,6,3,1,5,6,4,5,6,6,6,1,2,2,2,2,2,1,5,5,5,5,5,5,5,5,1,3,3,3,3,3,1,1,1,Yes,Yes,Whether looking at art can change your opinion on social programs in the USA.,No,1,38.08880615,-78.55919647,-1
R_qKrPrx7xiybNVmN,Default Response Set,Anonymous,,,0,11/28/16 8:23,11/28/16 8:32,1,Pro,FAE First,Analytic,1,1,1,1,1,35.771,36.376,37.491,2,1,1,56.863,56.863,57.865,1,1,1,0,0,51.041,0,1,1,47.374,47.374,48.095,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,50,1,,21,1,,11,,1,1,1,1,1,3,3,3,4,3,3,1,4,6,4,4,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,,,,Yes,No,Determining attitude towards affirmative action based on personality,N/A,1,38.08880615,-78.55919647,-1
R_8IWCZdSuy4FMZ9v,Default Response Set,Anonymous,,,0,11/28/16 8:07,11/28/16 8:49,1,Pro,FAE Second,Analytic,1,1,1,1,1,0,0,33.701,0,1,1,0,0,2063.131,0,1,1,0,0,33.138,0,1,1,0,0,34.944,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,98,2,,20,1,,1,,1,3,1,1,1,3,5,4,1,2,2,1,3,6,3,4,2,3,2,1,2,5,6,2,2,1,1,1,1,3,3,6,1,2,1,2,4,3,3,2,,,,yes,no,no clue,n/a,1,39.43699646,-76.78179932,-1
R_1pMvWwG9DtXOm7T,Default Response Set,Anonymous,,,0,11/28/16 8:50,11/28/16 9:02,1,Anti,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,32.543,0,1,1,0,0,36.817,0,1,1,0,0,32.954,0,1,1,0,0,42.931,0,1,2,1,60,2,,19,1,,1,,1,3,,,,3,3,3,3,6,4,1,3,3,2,3,5,5,5,1,2,2,2,2,1,1,2,2,3,3,3,3,2,2,1,4,3,4,4,4,1,1,1,yes,"yes, the pictures",I have no idea,no,1,38.08880615,-78.55919647,-1
R_10qJbVFQgUpfsIb,Default Response Set,Anonymous,,,0,11/28/16 9:06,11/28/16 9:18,1,Anti,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5.502,37.957,38.265,8,1,1,0,0,31.971,0,1,1,0,0,32.48,0,1,1,34.208,34.208,34.564,1,1,2,1,75,1,,19,2,,1,,1,3,,,,5,5,5,2,6,3,1,4,6,3,3,7,6,7,1,2,1,1,3,6,1,5,5,6,6,6,5,6,7,1,3,2,5,4,7,1,1,1,Yes,yes,"Demographics & their relationship towards racial issues, plus stuatues. ","nope, good job. ",1,38.08880615,-78.55919647,-1
R_2ureOibl323ejng,Default Response Set,Anonymous,,,0,11/28/16 9:23,11/28/16 9:29,1,Pro,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,37.841,0,1,1,0,0,31.819,0,1,1,0,0,31.66,0,1,1,0,0,31.758,0,1,2,1,0,2,,18,1,,11,,1,3,1,1,1,4,3,3,3,3,2,1,6,6,6,6,6,6,6,1,2,2,2,2,2,1,6,6,6,6,6,6,6,6,1,6,6,6,6,6,,,,Yes,Yes,Not sure,No,1,38.03289795,-78.51370239,-1
R_3RxeLqq6PlVHEqo,Default Response Set,Anonymous,,,0,11/28/16 9:24,11/28/16 9:31,1,Anti,FAE First,Analytic,1,1,1,1,1,32.146,32.146,32.46,1,1,1,0,0,89.379,0,1,1,0,0,45.863,0,1,1,74.322,74.322,78.837,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,100,2,,18,3,,10,,1,3,,,,4,4,4,1,4,3,1,7,7,5,6,7,7,7,1,2,3,2,3,1,1,2,1,2,4,4,1,4,2,1,2,2,3,3,5,1,1,1,Yes,No,Perspective,n/a,1,38.03289795,-78.51370239,-1
R_2CvIHCFUvIduthS,Default Response Set,Anonymous,,,0,11/28/16 9:29,11/28/16 9:36,1,Anti,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,45.161,45.161,45.561,1,1,1,0,0,33.541,0,1,1,22.371,22.371,34.484,1,1,1,0,0,31.665,0,1,2,1,100,1,,18,2,,2,,1,1,,,,3,4,5,2,5,2,1,5,7,6,5,7,6,6,1,2,3,4,3,2,1,3,3,6,6,4,5,3,3,1,3,5,3,4,4,1,1,1,Good,No,I don't know yet,N/A,1,38.03289795,-78.51370239,-1
R_33BfkBPiOEh9exf,Default Response Set,Anonymous,,,0,11/28/16 9:38,11/28/16 9:52,1,Pro,FAE First,Analytic,1,1,1,1,1,0,0,34.715,0,1,1,0,0,37.633,0,1,1,0,0,40.918,0,1,1,0,0,38.596,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,98,1,,18,1,,2,,1,3,1,1,1,4,2,5,6,5,4,1,2,4,1,2,5,4,3,1,2,1,2,5,2,1,3,3,4,3,3,3,2,2,1,2,3,3,5,3,,,,yes,no,thinking?,no,1,38.08880615,-78.55919647,-1
R_dd0R44B4VkLK8Vz,Default Response Set,Anonymous,,,0,11/28/16 10:05,11/28/16 10:12,1,Anti,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,39.353,0,1,1,0,0,32.612,0,1,1,0,0,35.165,0,1,1,50.447,50.447,51.079,1,1,2,1,99,2,,18,1,,10,,1,2,,,,4,2,3,4,4,3,1,4,4,4,4,3,3,6,1,4,1,3,2,1,1,1,2,2,3,2,5,4,2,1,4,4,4,1,1,1,1,1,yea,no,i dont know,no,1,38.08880615,-78.55919647,-1
R_24q6rUgq6nbmnEI,Default Response Set,Anonymous,,,0,11/28/16 10:06,11/28/16 10:14,1,Pro,FAE First,Analytic,1,1,1,1,1,0,0,43.859,0,1,1,0,0,38.854,0,1,1,0,0,31.723,0,1,1,0,0,32.579,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,10,1,,22,1,,11,,1,3,1,1,1,1,2,3,3,6,3,1,4,7,3,5,5,5,4,1,1,1,2,1,3,1,1,1,4,4,3,1,4,1,1,6,5,6,3,4,,,,Somewhat,"Yes, the pictures of the thinker","No idea, confused",,1,37.9875946,-78.6085968,-1
R_2pQ3hLeh5FmF6db,Default Response Set,Anonymous,,,0,11/28/16 10:12,11/28/16 10:19,1,Anti,FAE First,Analytic,1,1,1,1,1,0,0,36.931,0,1,1,32.134,32.134,32.578,1,1,1,0,0,35.087,0,1,1,0,0,36.188,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,70,1,,21,10,1/5 cherokee,12,scientology,1,1,,,,4,4,4,4,4,3,1,4,4,4,4,4,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1,1,1,yaaas queen,yaas ,much psych,yes,1,37.9875946,-78.6085968,-1
R_12gMmHEp0hyBvUN,Default Response Set,Anonymous,,,0,11/28/16 10:10,11/28/16 10:20,1,Pro,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,38.975,0,1,1,0,0,35.969,0,1,1,0,0,35,0,1,1,0,0,41.876,0,1,2,1,50,1,,20,1,,2,,1,3,1,1,1,1,1,2,3,5,4,1,6,6,5,5,6,5,5,1,1,1,1,1,1,1,3,3,4,6,3,3,3,3,1,4,3,2,3,3,,,,Yes,Yes,A link between religion and social/civil rights,No,1,38.03289795,-78.51370239,-1
R_bko7aSEAmhrgxWN,Default Response Set,Anonymous,,,0,11/28/16 10:10,11/28/16 10:33,1,Anti,FAE Second,Control,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,34.885,34.885,36.729,1,1,1,0,0,34.307,0,1,1,0,0,32.161,0,1,1,0,0,35.079,0,1,1,1,70,1,,18,1,,2,,1,3,,,,6,6,4,5,6,3,1,3,5,2,3,6,4,7,1,2,2,2,3,1,1,5,6,7,7,6,3,3,5,1,5,4,4,5,3,1,1,1,Yes,The request to study four pictures of the discus thrower statue without any follow-up,Opinions on affirmative action,,1,38.08880615,-78.55919647,-1
R_1ptaCmGiuxup2TL,Default Response Set,Anonymous,,,0,11/28/16 10:27,11/28/16 10:38,1,Pro,FAE First,Analytic,1,1,1,1,1,0,0,34.056,0,1,1,0,0,35.078,0,1,1,0,0,33.576,0,1,1,31.659,31.659,32.573,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,100,1,,18,1,,2,,1,3,1,1,1,3,3,3,6,2,4,1,3,3,3,3,5,3,4,1,2,3,4,3,3,1,5,3,3,4,3,4,5,3,1,4,3,3,4,3,,,,Fairly clear,No,"Based on which studies taken first, there might be a correlation between answers or how people might change answers after completing varying studies",No,1,38.03289795,-78.51370239,-1
R_3kiia8geyvpXrKh,Default Response Set,Anonymous,,,0,11/28/16 10:44,11/28/16 10:53,1,Anti,FAE First,Analytic,1,1,3,1,1,0,0,32.989,0,1,1,0,0,32.424,0,1,1,0,0,31.401,0,1,1,0,0,39.315,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,100,2,,18,1,,2,,1,2,,,,2,2,3,2,7,4,1,6,7,5,5,6,6,6,1,2,2,3,3,2,1,4,1,3,4,3,6,4,3,1,5,4,5,2,4,1,1,1,yes,the relationship between the studies,I don't see any correlation,Explain the relationship between the studies,1,38.08880615,-78.55919647,-1
R_22GnubAsBWBbjpi,Default Response Set,Anonymous,,,0,11/28/16 10:45,11/28/16 10:55,1,Anti,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,43.194,0,1,1,0,0,38.813,0,1,1,0,0,31.622,0,1,1,0,0,32.11,0,1,2,1,30,1,,19,6,,11,,1,3,,,,4,4,3,6,6,4,1,3,5,4,2,2,5,5,1,2,1,1,1,1,1,3,2,3,2,2,3,2,3,1,3,3,4,2,1,1,1,1,Yes,No,Measure the angle we look at things,No,1,38.08880615,-78.55919647,-1
R_u4SKELNfSnsI2fD,Default Response Set,Anonymous,,,0,11/28/16 10:38,11/28/16 10:56,1,Pro,FAE Second,Control,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,50.565,0,1,1,0,0,33.295,0,1,1,0,0,32.062,0,1,1,0,0,34.111,0,1,1,1,85,1,,19,1,,1,,1,1,1,1,1,5,6,2,6,6,4,1,1,2,1,2,6,3,6,1,1,1,1,1,1,1,2,1,3,2,5,3,2,1,1,4,3,3,4,4,,,,Yes,No,Nothing,No,1,38.08880615,-78.55919647,-1
R_1joB3bnL9PebP2r,Default Response Set,Anonymous,,,0,11/28/16 10:51,11/28/16 11:04,1,Pro,FAE Second,Analytic,1,1,1,1,1,0,0,35.678,0,1,1,0,0,33.672,0,1,1,0,0,35.97,0,1,1,0,0,35.285,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,10,2,,18,1,,11,,1,3,1,1,1,3,2,5,5,6,3,1,4,3,4,3,6,6,6,1,2,2,2,2,5,1,5,4,5,4,3,5,4,5,1,4,5,5,3,5,,,,yes,The study with just pictures,Maybe to study implicit attitudes,no,1,38.08880615,-78.55919647,-1
R_ZgWFtI5QzZz4A6t,Default Response Set,Anonymous,,,0,11/28/16 10:34,11/28/16 11:10,1,Pro,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,66.824,0,1,1,0,0,42.838,0,1,1,0,0,33.46,0,1,1,0,0,1098.392,0,1,2,1,5,1,,18,1,,11,,1,3,1,1,1,2,2,2,3,5,3,1,6,6,6,6,6,5,6,1,2,2,3,2,2,1,3,2,3,2,3,2,3,3,1,4,6,6,5,5,,,,yes,no,I don't know,no,1,38.08880615,-78.55919647,-1
R_3NP0NrF10gSm7pa,Default Response Set,Anonymous,,,0,11/28/16 11:13,11/28/16 11:21,1,Anti,FAE Second,Analytic,1,1,1,1,1,0,0,40.11,0,1,1,39.474,39.474,40.285,1,1,1,19.961,19.961,35.344,1,1,1,0,0,50.285,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,100,2,,20,1,,2,,1,3,,,,4,5,2,5,7,3,1,3,5,3,3,4,3,4,1,5,3,5,2,2,1,2,2,3,5,3,3,2,2,1,2,2,2,1,1,1,1,1,Yes ,No,I do not see a relationship,N/a,1,38.08880615,-78.55919647,-1
R_3qfI8mpdlIzmUOs,Default Response Set,Anonymous,,,0,11/28/16 11:09,11/28/16 11:21,1,Pro,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,35.086,0,1,1,0,0,32.183,0,1,1,0,0,31.687,0,1,1,0,0,32.245,0,1,2,1,95,1,,19,1,,10,,1,3,1,1,1,2,2,1,3,5,3,1,4,5,3,4,5,4,4,1,2,1,1,1,1,1,2,2,3,4,2,5,4,3,1,4,3,5,4,3,,,,Yes,No,Differentiation,No,1,38.08880615,-78.55919647,-1
R_2QFYBhps50P8za2,Default Response Set,Anonymous,,,0,11/28/16 11:21,11/28/16 11:31,1,Pro,FAE Second,Analytic,1,1,2,1,1,0,0,35.633,0,1,1,0,0,39.472,0,1,1,0,0,33.653,0,1,1,0,0,32.608,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,72,2,,20,1,,12,Baptist,1,2,1,1,1,2,2,3,3,5,3,1,3,3,4,3,5,3,6,1,2,2,2,2,2,1,3,3,5,6,5,5,3,3,1,3,4,4,3,3,,,,yes,the pictures,what god created and what is now,no,1,38.08880615,-78.55919647,-1
R_3RwSAo407IzK5P6,Default Response Set,Anonymous,,,0,11/28/16 11:20,11/28/16 11:31,1,Anti,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,38.618,0,1,1,0,0,33.091,0,1,1,0,0,34.222,0,1,1,0,0,38.511,0,1,2,1,70,2,,18,1,,12,Presbyterian ,1,3,,,,6,6,2,3,6,4,1,3,5,3,3,4,6,6,1,1,1,1,2,2,1,2,1,3,5,3,6,6,3,1,4,4,4,2,4,1,1,1,yes,no,The only connection I can think of is that the images were different perspectives of the same thing; these questions made us think about different perspectives.,"no, I thought it was clear.",1,38.08880615,-78.55919647,-1
R_3NKgvyPv9P43vu3,Default Response Set,Anonymous,,,0,11/28/16 11:25,11/28/16 11:35,1,Anti,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,50.177,0,1,1,2.588,2.588,35.162,1,1,1,50.546,51.138,51.683,2,1,1,0,0,43.882,0,1,2,1,60,2,,18,1,,3,,1,3,,,,6,7,3,5,3,3,1,6,6,2,2,5,3,2,1,4,3,5,3,1,1,3,2,6,2,3,5,4,3,1,3,6,3,3,3,1,1,1,yes,somewhat,social ideologies and opinion on gov intervention,very good survey!,1,38.08880615,-78.55919647,-1
R_1PXmkqfgGBbe8hv,Default Response Set,Anonymous,,,0,11/28/16 11:12,11/28/16 11:37,1,Pro,FAE Second,Analytic,1,1,1,1,1,0,0,33.57,0,1,1,0,0,33.705,0,1,1,0,0,47.77,0,1,1,0,0,61.71,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,20,1,,18,7,,11,,1,3,1,1,1,5,5,3,4,5,4,1,2,3,2,4,4,5,5,1,2,3,2,2,2,1,3,2,5,5,5,5,4,5,1,4,4,4,3,3,,,,Yes,"The statues are a bit strange, not sure what they're for",,,1,38.08880615,-78.55919647,-1
R_1je40ZTm0VfXRIp,Default Response Set,Anonymous,,,0,11/28/16 11:41,11/28/16 11:50,1,Anti,FAE First,Analytic,1,1,1,1,1,0,0,36.284,0,1,1,0,0,35.205,0,1,1,0,0,35.109,0,1,1,0,0,36.406,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,69,1,,18,1,,2,,1,3,,,,5,5,2,7,7,2,1,2,3,1,1,2,2,2,1,1,1,1,1,1,1,2,3,3,2,1,2,1,1,1,3,3,3,3,3,1,1,1,yes,yes,i dont know,what was looking at the thinker for?,1,38.08880615,-78.55919647,-1
R_2cpIFY4ipHhWXVL,Default Response Set,Anonymous,,,0,11/28/16 11:45,11/28/16 11:53,1,Pro,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,40.005,0,1,1,0,0,31.994,0,1,1,0,0,31.648,0,1,1,0,0,31.748,0,1,2,1,0,2,,18,1,,11,,1,3,1,1,1,2,2,3,2,3,2,1,6,7,5,4,6,6,6,1,2,2,2,2,2,1,5,5,6,5,5,6,6,6,1,5,5,6,5,5,,,,Yes,No,I don't know what the relation to the statues was. ,Explain after,1,38.08880615,-78.55919647,-1
R_2fiXj7iLCfsGoGL,Default Response Set,Anonymous,,,0,11/28/16 10:33,11/28/16 12:08,1,Anti,FAE Second,Analytic,1,1,2,1,1,11.873,344.387,346.267,3,1,1,0,0,801.837,0,1,1,0,0,952.967,0,1,1,0,0,44.059,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,,18,1,,11,,1,3,,,,5,5,2,2,5,3,1,6,6,6,5,6,6,6,1,2,2,3,2,2,1,5,5,5,6,5,6,5,5,1,4,6,5,7,6,1,1,1,yes,no,Political view standpoint with personal opinion,no,1,38.08880615,-78.55919647,-1
